unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1.651E+12,26/04/2022 20:00,BTC/GBP,30434.6,30544.83,30012,30350.46,32.96834,998236.5643,895
1.651E+12,26/04/2022 19:00,BTC/GBP,30541.03,30654.37,30122.76,30448.61,39.57201,1204258.665,997
1.651E+12,26/04/2022 18:00,BTC/GBP,30527.67,30588.7,30401.7,30536.28,24.24376,739582.2697,744
1.65099E+12,26/04/2022 17:00,BTC/GBP,30668.24,30668.24,30190.66,30531.69,37.58813,1144186.514,978
1.65099E+12,26/04/2022 16:00,BTC/GBP,30581.35,30834.83,30450,30678.25,34.7606,1065754.687,1089
1.65099E+12,26/04/2022 15:00,BTC/GBP,31107.96,31151.12,30600,30610.98,34.35398,1063252.238,1040
1.65098E+12,26/04/2022 14:00,BTC/GBP,31395.73,31422.44,31082.23,31122.52,38.38894,1201069.699,948
1.65098E+12,26/04/2022 13:00,BTC/GBP,31778.97,31814.14,31389.29,31389.29,25.88979,819460.0609,907
1.65097E+12,26/04/2022 12:00,BTC/GBP,31903.91,32033.56,31705.63,31787.64,12.68669,404608.9719,523
1.65097E+12,26/04/2022 11:00,BTC/GBP,31767.12,31960.71,31693.47,31896.05,14.20834,452500.0751,526
1.65097E+12,26/04/2022 10:00,BTC/GBP,31772.4,31839.45,31742.9,31763.97,15.34769,487970.3628,726
1.65096E+12,26/04/2022 09:00,BTC/GBP,31879.45,31914.12,31736.72,31771.74,15.94201,507458.5604,639
1.65096E+12,26/04/2022 08:00,BTC/GBP,31924.47,32069.22,31833.83,31887.77,19.33443,617402.5573,643
1.65096E+12,26/04/2022 07:00,BTC/GBP,31825.18,31983.13,31746.12,31926.06,17.30443,552196.1525,833
1.65095E+12,26/04/2022 06:00,BTC/GBP,31857.59,31874.36,31784.77,31825.57,11.3049,359819.8212,503
1.65095E+12,26/04/2022 05:00,BTC/GBP,31803.63,31921.55,31803.63,31840.8,6.88658,219355.6236,353
1.65095E+12,26/04/2022 04:00,BTC/GBP,31789.31,31848.06,31747.19,31806.2,7.06241,224689.9104,282
1.65094E+12,26/04/2022 03:00,BTC/GBP,31757.95,31850.01,31744.84,31789.32,9.50414,302095.7021,429
1.65094E+12,26/04/2022 02:00,BTC/GBP,31770.42,31829.56,31660.37,31771.06,6.93295,220237.8981,387
1.65093E+12,26/04/2022 01:00,BTC/GBP,31842.05,31904.63,31755.98,31765.43,13.71515,436363.4673,437
